Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000399999990 CH2:0.0000399999990,,Second,Volt,Volt
,,,-0.29940000176,2.00000,0.00
,,,-0.29936000705,2.00000,0.00
,,,-0.29931998253,2.00000,0.00
,,,-0.29927998781,2.00000,0.00
,,,-0.29923999310,2.00000,0.00
,,,-0.29919999838,1.92000,0.00
,,,-0.29916000366,2.00000,0.00
,,,-0.29911997914,2.00000,0.00
,,,-0.29907998443,2.00000,0.00
,,,-0.29903998971,2.00000,0.00
,,,-0.29899999499,2.00000,0.00
,,,-0.29896000028,2.00000,0.00
,,,-0.29892000556,2.00000,0.00
,,,-0.29887998104,2.00000,0.00
,,,-0.29883998632,2.00000,0.00
,,,-0.29879999161,2.00000,0.00
,,,-0.29875999689,2.00000,0.00
,,,-0.29872000217,2.00000,0.00
,,,-0.29867997766,2.00000,0.00
,,,-0.29863998294,2.00000,0.00
,,,-0.29859998822,2.00000,0.00
,,,-0.29855999351,2.00000,0.00
,,,-0.29851999879,2.00000,0.00
,,,-0.29848000407,2.00000,0.00
,,,-0.29843997955,2.00000,0.00
,,,-0.29839998484,2.00000,0.00
,,,-0.29835999012,2.00000,0.00
,,,-0.29831999540,2.00000,0.00
,,,-0.29828000069,2.00000,0.00
,,,-0.29824000597,2.00000,0.00
,,,-0.29819998145,2.00000,0.00
,,,-0.29815998673,2.00000,0.00
,,,-0.29811999202,2.00000,0.00
,,,-0.29807999730,2.00000,0.00
,,,-0.29804000258,2.00000,0.00
,,,-0.29799997807,2.00000,0.00
,,,-0.29795998335,2.00000,0.00
,,,-0.29791998863,2.00000,0.00
,,,-0.29787999392,2.00000,0.00
,,,-0.29783999920,2.00000,0.00
,,,-0.29780000448,2.00000,0.00
,,,-0.29775997996,2.00000,0.00
,,,-0.29771998525,2.00000,0.00
,,,-0.29767999053,2.00000,0.00
,,,-0.29763999581,2.00000,0.00
,,,-0.29760000110,2.00000,0.00
,,,-0.29756000638,2.00000,0.00
,,,-0.29751998186,2.00000,0.00
,,,-0.29747998714,2.00000,0.00
,,,-0.29743999243,2.00000,0.00
,,,-0.29739999771,2.00000,0.00
,,,-0.29736000299,2.00000,0.00
,,,-0.29731997848,2.00000,0.00
,,,-0.29727998376,2.00000,0.00
,,,-0.29723998904,2.00000,0.00
,,,-0.29719999433,2.00000,0.00
,,,-0.29715999961,2.00000,0.00
