Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000040000000 CH2:0.0000040000000,,Second,Volt,Volt
,,,-0.03972800076,0.00,0.00
,,,-0.03972399980,0.00,0.00
,,,-0.03971999884,0.00,0.00
,,,-0.03971600160,-0.08000,0.00
,,,-0.03971200064,0.00,0.00
,,,-0.03970799968,0.00,0.00
,,,-0.03970399871,0.00,0.00
,,,-0.03970000148,0.00,0.00
,,,-0.03969600052,0.00,0.00
,,,-0.03969199955,-0.08000,0.00
,,,-0.03968799859,0.00,0.00
,,,-0.03968400136,0.00,0.00
,,,-0.03968000039,0.00,0.00
,,,-0.03967599943,0.00,0.00
,,,-0.03967199847,0.00,0.00
,,,-0.03966800123,0.00,0.00
,,,-0.03966400027,0.00,0.00
,,,-0.03965999931,0.00,0.00
,,,-0.03965599835,0.00,0.08000
,,,-0.03965200111,0.00,0.00
,,,-0.03964800015,0.00,0.00
,,,-0.03964399919,0.00,0.00
,,,-0.03963999823,0.00,0.00
,,,-0.03963600099,-0.08000,0.00
,,,-0.03963200003,0.00,0.00
,,,-0.03962799907,0.00,0.00
,,,-0.03962399811,0.00,-0.08000
,,,-0.03962000087,0.00,-0.08000
,,,-0.03961599991,-0.08000,0.00
,,,-0.03961199895,-0.08000,0.00
,,,-0.03960800171,0.00,0.00
,,,-0.03960400075,-0.08000,0.00
,,,-0.03959999979,0.00,0.00
,,,-0.03959599882,0.00,0.00
,,,-0.03959200159,0.00,0.00
,,,-0.03958800063,0.00,0.00
,,,-0.03958399966,0.00,0.00
,,,-0.03957999870,0.00,0.00
,,,-0.03957600147,-0.08000,0.00
,,,-0.03957200050,0.00,0.00
,,,-0.03956799954,-0.08000,0.00
,,,-0.03956399858,0.00,0.00
,,,-0.03956000134,0.00,0.00
,,,-0.03955600038,-0.08000,0.00
,,,-0.03955199942,0.00,0.00
,,,-0.03954799846,0.00,0.00
,,,-0.03954400122,-0.08000,0.00
,,,-0.03954000026,0.00,0.00
,,,-0.03953599930,0.00,0.00
